pageid,title,protection_status,number_of_views,number_of_edits
18701436,Tumblr,autoconfirmed;autoconfirmed,,
18707123,Carmen Electra,autoconfirmed;sysop,,
18716923,Algebra,autoconfirmed;sysop,,
18717177,Shrek,autoconfirmed,,
1871748,High-functioning autism,autoconfirmed;autoconfirmed,,
18720636,Hollywood Undead,autoconfirmed;autoconfirmed,,
18721790,Child sexual abuse,autoconfirmed;sysop,,
18723138,Game,autoconfirmed;autoconfirmed,,
18724,Land Rover,autoconfirmed,,
18724109,Violet Blue,autoconfirmed;sysop,,
187266,Arvanites,autoconfirmed;autoconfirmed,,
18728612,Gitit (moshav),autoconfirmed;autoconfirmed,,
18735271,Drew Jarvis,autoconfirmed;autoconfirmed,,
18742711,Einstein family,autoconfirmed,,
187586,Family Guy,autoconfirmed;sysop,,
18762503,Russo-Georgian War,autoconfirmed;autoconfirmed,,
18768705,Cowra Airport,autoconfirmed;autoconfirmed,,
18771008,Andrew Peach,autoconfirmed;autoconfirmed,,
1877214,John Obi Mikel,autoconfirmed;autoconfirmed,,
18784705,Irano-Afghan race,autoconfirmed;sysop,,
18787,Metallica,autoconfirmed;sysop,,
18793578,Death of Caylee Anthony,autoconfirmed;autoconfirmed,,
187946,Search engine optimization,autoconfirmed;autoconfirmed,,
188057,Kara-Khanid Khanate,autoconfirmed;autoconfirmed,,
18806333,World Magnetic Tour,autoconfirmed,,
188171,Kenya,autoconfirmed;sysop,,
188213,Yahoo!,autoconfirmed;sysop,,
1882347,Homer G. Lindsay; Jr.,autoconfirmed,,
18831,Mathematics,autoconfirmed;sysop,,
188320,Penis enlargement,autoconfirmed;autoconfirmed,,
18834674,Erection,autoconfirmed;sysop,,
18839,Music,autoconfirmed;sysop,,
18841893,Nudity,autoconfirmed;sysop,,
18842168,Semen,autoconfirmed;sysop,,
18842359,Ocean,autoconfirmed;sysop,,
18845,Mouse,autoconfirmed;sysop,,
18855505,Negro,autoconfirmed;autoconfirmed,,
18855594,Asian people,autoconfirmed;sysop,,
188564,Bill O'Reilly (political commentator),autoconfirmed;sysop,,
18856540,Steffen Lehmann,autoconfirmed;autoconfirmed,,
18862135,Baller,autoconfirmed;autoconfirmed,,
188665,Genital wart,autoconfirmed;autoconfirmed,,
18880184,Ancient Egyptian race controversy,autoconfirmed;sysop,,
18882829,Madagiz,autoconfirmed;autoconfirmed,,
18890,Microsoft Windows,autoconfirmed;sysop,,
18896542,Benjamin King (actor),autoconfirmed;autoconfirmed,,
18902,Mathematician,autoconfirmed;autoconfirmed,,
18909,Magnesium,autoconfirmed;sysop,,
18914017,Alzheimer's disease,autoconfirmed;sysop,,
18916132,Rosi Sexton,autoconfirmed;autoconfirmed,,
18925230,Mike Jones (rapper),autoconfirmed;autoconfirmed,,
18927668,Danny O'Donoghue,autoconfirmed;autoconfirmed,,
18933066,Florida,autoconfirmed;sysop,,
18934,Muhammad,autoconfirmed;sysop,,
18934980,Rick Alan Ross,autoconfirmed;autoconfirmed,,
18935,Morse code,autoconfirmed;sysop,,
18935042,Mar-07,autoconfirmed;sysop,,
18938059,Keith Henson,autoconfirmed;autoconfirmed,,
18938265,"""Weird Al"" Yankovic",autoconfirmed;sysop,,
18940588,A.C. Milan,autoconfirmed;autoconfirmed,,
18945005,Akbar,autoconfirmed;autoconfirmed,,
18945847,Hip hop music,autoconfirmed;sysop,,
18948337,1994,autoconfirmed;autoconfirmed,,
18948383,I Have a Dream,autoconfirmed;autoconfirmed,,
18951490,American football,autoconfirmed;sysop,,
18951905,Argentina,autoconfirmed;sysop,,
1895214,Dendera Temple complex,autoconfirmed;autoconfirmed,,
18952797,Silkroad Online,autoconfirmed;sysop,,
18955875,Tree,autoconfirmed;sysop,,
18955999,Desert,autoconfirmed;sysop,,
18959138,Antarctica,autoconfirmed;sysop,,
18963754,Viscosity,autoconfirmed;sysop,,
18969626,Betta,autoconfirmed;sysop,,
18969800,Michael Clarke Duncan,autoconfirmed;sysop,,
18973479,Charge of the Light Brigade,autoconfirmed;sysop,,
18973655,Vaginal flatulence,autoconfirmed;sysop,,
1897721,Algernon Capell; 2nd Earl of Essex,autoconfirmed;autoconfirmed,,
1897839,Andrew Krystal,autoconfirmed;autoconfirmed,,
18978668,Pickled cucumber,autoconfirmed;sysop,,
18978754,Apple,autoconfirmed;sysop,,
18984,Mongols,autoconfirmed;autoconfirmed,,
18984642,Brooke Shields,autoconfirmed;sysop,,
18985156,Sock,autoconfirmed;autoconfirmed,,
1898855,It's Not Easy Being Green,autoconfirmed;autoconfirmed,,
18992432,Palace Theatre; Melbourne,autoconfirmed;autoconfirmed,,
18993825,Liquid,autoconfirmed;sysop,,
18993882,Overweight,autoconfirmed;sysop,,
18994037,Sand,autoconfirmed;sysop,,
18994400,Cool (aesthetic),autoconfirmed;sysop,,
18998781,Nike; Inc.,autoconfirmed,,
19000377,Jason Todd Ipson,autoconfirmed;sysop,,
19001,Microsoft,autoconfirmed;sysop,,
19003265,Neptune,autoconfirmed;sysop,,
19005719,Cyberstalking,autoconfirmed;sysop,,
19005769,Failure,autoconfirmed;sysop,,
19008673,Conic section,autoconfirmed;sysop,,
19009060,Anthropomorphism,autoconfirmed,,
19009110,Rain,autoconfirmed;sysop,,
19017269,World population,autoconfirmed;autoconfirmed,,
1901849,Informant,autoconfirmed;autoconfirmed,,
19019,Mr. T,autoconfirmed;sysop,,
19019270,Sexually transmitted infection,autoconfirmed;autoconfirmed,,
19031,Maltese language,autoconfirmed;autoconfirmed,,
19032190,Red Tails,autoconfirmed,,
1903875,Manele,autoconfirmed;autoconfirmed,,
19042,Metal,autoconfirmed;sysop,,
19043864,Gary Glitter,autoconfirmed;sysop,,
190460,Henri Coandă,autoconfirmed;autoconfirmed,,
1905125,Anarchism and anarcho-capitalism,autoconfirmed;autoconfirmed,,
19053,Mineral,autoconfirmed;sysop,,
19062669,The Boy in the Striped Pyjamas (film),autoconfirmed;autoconfirmed,,
19065069,Boris Johnson,autoconfirmed;sysop,,
19067127,Socialist Party of Ontario,autoconfirmed;autoconfirmed,,
1907160,Mike Peden,autoconfirmed;autoconfirmed,,
19078,Macedonia (region),autoconfirmed;autoconfirmed,,
190809,Roy Jones; Jr.,autoconfirmed;autoconfirmed,,
19084502,Michael Phelps,autoconfirmed;sysop,,
1910375,Danny Dyer,autoconfirmed;autoconfirmed,,
19110006,Sumaira Malik,autoconfirmed;autoconfirmed,,
19116779,Danielson Gomes Monteiro,autoconfirmed;autoconfirmed,,
1915235,Insurgency in Jammu and Kashmir,autoconfirmed;autoconfirmed,,
19156517,Moron (psychology),autoconfirmed;sysop,,
19156538,Dumb,autoconfirmed;sysop,,
19156567,Ron Weasley,autoconfirmed;sysop,,
191591,The Bold and the Beautiful,autoconfirmed;autoconfirmed,,
19159221,Stupidity,autoconfirmed;sysop,,
19159807,Mark Versallion,autoconfirmed;autoconfirmed,,
1916193,Terrorism in India,autoconfirmed;autoconfirmed,,
19167553,Goat,autoconfirmed;sysop,,
19167644,Toilet,autoconfirmed;sysop,,
19167679,Virus,autoconfirmed;sysop,,
19167764,Undergarment,autoconfirmed;sysop,,
19168,Misogyny,autoconfirmed;autoconfirmed,,
191704,Coandă-1910,autoconfirmed;autoconfirmed,,
19171969,Anushka Sharma,autoconfirmed;autoconfirmed,,
19172070,You Me at Six,autoconfirmed;autoconfirmed,,
19174720,Battery (electricity),autoconfirmed;autoconfirmed,,
19178965,Fungus,autoconfirmed;sysop,,
19180096,Worm,autoconfirmed;sysop,,
19184383,Scott Kuhn,autoconfirmed;autoconfirmed,,
19185907,Kool-Aid,autoconfirmed;autoconfirmed,,
19186899,Gay pornography,autoconfirmed;sysop,,
19189,Mumbai,autoconfirmed;sysop,,
19196010,Egg (food),autoconfirmed;sysop,,
19196206,Douchebag,sysop;sysop,,
19196455,Douche,autoconfirmed;sysop,,
19196523,Randomness,autoconfirmed;sysop,,
19203498,Pyrenean Mastiff,autoconfirmed;autoconfirmed,,
1921,Al-Qaeda,autoconfirmed;sysop,,
1921000,Schule Schloss Salem,autoconfirmed;autoconfirmed,,
1921242,Khilji dynasty,autoconfirmed;autoconfirmed,,
19230767,Odin,autoconfirmed;sysop,,
19230789,Amun,autoconfirmed;sysop,,
19230848,Ra,autoconfirmed;sysop,,
19233472,Leyton Sixth Form College,autoconfirmed;autoconfirmed,,
192341,SpongeBob SquarePants (character),autoconfirmed;autoconfirmed,,
192368,Hot dog,autoconfirmed;sysop,,
192438,Shovel,autoconfirmed;autoconfirmed,,
192481,50 Cent,autoconfirmed;sysop,,
19255892,Dalmatian (dog),autoconfirmed;autoconfirmed,,
19257801,Capcom Vancouver,autoconfirmed;autoconfirmed,,
19264855,Wheely Willy,autoconfirmed;sysop,,
19271,Mongolia,autoconfirmed;sysop,,
1927695,Senusret I,autoconfirmed,,
19279158,Labour Party (UK),autoconfirmed;autoconfirmed,,
19280644,Eleanor Roosevelt,autoconfirmed,,
19281864,Katy Perry discography,autoconfirmed,,
19283178,Benito Mussolini,autoconfirmed;sysop,,
19283335,Great Depression,autoconfirmed;sysop,,
1928374,Perfection,autoconfirmed;sysop,,
19285924,RMS Titanic,autoconfirmed;sysop,,
19288963,Steve Cohen (magician),autoconfirmed,,
19291,Morocco,autoconfirmed;sysop,,
19312,Meme,autoconfirmed;autoconfirmed,,
19317464,Public image of Sarah Palin,autoconfirmed;autoconfirmed,,
19318,Marilyn Monroe,autoconfirmed;sysop,,
19323,Middle East,autoconfirmed;sysop,,
19323190,Dayana Mendoza,autoconfirmed;sysop,,
1932553,Kent School District,autoconfirmed;autoconfirmed,,
19329783,Winnie-the-Pooh,autoconfirmed;sysop,,
19331,Moon,autoconfirmed;sysop,,
19334,Marco Polo,autoconfirmed;sysop,,
19342741,Wonders of the World,autoconfirmed;sysop,,
1934790,Shah Alam II,autoconfirmed;autoconfirmed,,
19349705,The Protocols of the Elders of Zion,autoconfirmed;sysop,,
193502,Toddler,autoconfirmed;autoconfirmed,,
19356,Mental disorder,autoconfirmed;sysop,,
19357,Marijuana (disambiguation),autoconfirmed;sysop,,
19359918,Nazi human experimentation,autoconfirmed;sysop,,
193600,Jay Treaty,autoconfirmed;autoconfirmed,,
193608,Shahnameh,autoconfirmed;autoconfirmed,,
19362200,Shelly Glover,autoconfirmed;autoconfirmed,,
19366130,Prostitution in North Korea,autoconfirmed;autoconfirmed,,
19370,Mazda,autoconfirmed,,
19376148,Stephen Hawking,autoconfirmed;sysop,,
19378550,Article,autoconfirmed;sysop,,
19379,Mahatma Gandhi,autoconfirmed;sysop,,
19385671,Rectum,autoconfirmed;sysop,,
19389264,Alan Soble,autoconfirmed;sysop,,
19394613,Kim Kardashian,autoconfirmed;sysop,,
19395616,Kim Petras,autoconfirmed;autoconfirmed,,
1941457,Internet begging,autoconfirmed;autoconfirmed,,
194253,Boy,autoconfirmed;sysop,,
19440655,Pentathlon (film),autoconfirmed;autoconfirmed,,
19440836,Men of War (film),autoconfirmed,,
194624,Afrocentrism,autoconfirmed;autoconfirmed,,
1946795,Scorpion II,autoconfirmed;autoconfirmed,,
19477573,Lady Gaga discography,autoconfirmed;autoconfirmed,,
19481110,Jim Crow laws,autoconfirmed;autoconfirmed,,
19499,Mariah Carey,autoconfirmed;sysop,,
195086,Harper Lee,autoconfirmed;sysop,,
19509628,List of awards and nominations received by Green Day,autoconfirmed;autoconfirmed,,
19509978,List of Sonny with a Chance episodes,autoconfirmed;sysop,,
19510523,Tomb of Sher Shah Suri,autoconfirmed;autoconfirmed,,
19514834,Alejandra Espinoza,autoconfirmed,,
195149,Federal government of the United States,autoconfirmed;sysop,,
1951662,Hinduism in Bangladesh,autoconfirmed;autoconfirmed,,
195193,Sky,autoconfirmed;autoconfirmed,,
1952627,History of chess,autoconfirmed;autoconfirmed,,
19527,Mao Zedong,autoconfirmed;sysop,,
195306,Harvey Milk,autoconfirmed,,
19533905,Castiel (Supernatural),autoconfirmed;autoconfirmed,,
19536118,Shironamhin,autoconfirmed;autoconfirmed,,
19541,Muslim,autoconfirmed;sysop,,
19543899,Salvia divinorum,autoconfirmed;sysop,,
19552925,Fairfield College,autoconfirmed;autoconfirmed,,
19568,Microscope,autoconfirmed;sysop,,
19568112,Golf,autoconfirmed;sysop,,
1957097,The Great Khali,autoconfirmed;autoconfirmed,,
19571,Missouri,autoconfirmed;sysop,,
19572217,Influenza,autoconfirmed;sysop,,
19577,Moses,autoconfirmed;autoconfirmed,,
19588,Mitochondrion,autoconfirmed;sysop,,
1959211,Brian Scalabrine,autoconfirmed;autoconfirmed,,
19593379,Hot,autoconfirmed,,
19593964,Sarcasm,autoconfirmed;sysop,,
19594028,Theoretical physics,autoconfirmed,,
19597073,George Bush,autoconfirmed;sysop,,
19603,Manhattan Project,autoconfirmed,,
1960910,Sea Gate; Brooklyn,autoconfirmed;autoconfirmed,,
1961182,Andy Douglas,autoconfirmed;autoconfirmed,,
19614294,Rowan Atkinson,autoconfirmed;sysop,,
19616015,Creampie (sexual act),autoconfirmed;autoconfirmed,,
19617527,Marcel Diallo,autoconfirmed;autoconfirmed,,
1962201,Taylor Dayne,autoconfirmed;autoconfirmed,,
19629283,Human anus,autoconfirmed;sysop,,
19636760,Beth Ditto,autoconfirmed;sysop,,
19636928,Micropenis,autoconfirmed;sysop,,
19639460,Robin Bush (historian),autoconfirmed;autoconfirmed,,
19641,Mass media,autoconfirmed;autoconfirmed,,
19643,Mahabharata,autoconfirmed;autoconfirmed,,
19644,Mein Kampf,autoconfirmed;sysop,,
19644137,Mobile phone,autoconfirmed;autoconfirmed,,
19650924,Now That's What I Call Music! 29 (U.S. series),autoconfirmed,,
19651298,Soup,autoconfirmed;sysop,,
19653813,Rule 34,autoconfirmed;sysop,,
19653902,Weed,autoconfirmed;sysop,,
19654373,Poop,autoconfirmed;sysop,,
19655007,Anthony De Sa,autoconfirmed;autoconfirmed,,
196590,Nikki Sixx,autoconfirmed;autoconfirmed,,
19666514,GNAA (disambiguation),autoconfirmed;sysop,,
1967116,List of the world's busiest airports by passenger traffic,autoconfirmed,,
19673093,Matter,autoconfirmed;sysop,,
1967356,Pawan Kalyan,autoconfirmed;autoconfirmed,,
19680,Mario Kart,autoconfirmed,,
19681345,Crack cocaine,autoconfirmed;autoconfirmed,,
1968174,Joe Chill,autoconfirmed;autoconfirmed,,
1968969,Bangal,autoconfirmed;autoconfirmed,,
19694,Mercury (planet),autoconfirmed;sysop,,
19698503,Anti-Zionism,autoconfirmed;sysop,,
1970335,List of Walt Disney Pictures films,autoconfirmed,,
1970633,Doggy Poo,autoconfirmed;autoconfirmed,,
1970671,Union of the Committees of Soldiers' Mothers of Russia,autoconfirmed;autoconfirmed,,
19714,Milk,autoconfirmed;sysop,,
19719153,"Teletubbies say ""Eh-oh!""",autoconfirmed;sysop,,
19723734,Muscle,autoconfirmed;sysop,,
19727,Michael Faraday,autoconfirmed;autoconfirmed,,
19728,Marriage,autoconfirmed;sysop,,
19729548,Millard Fillmore,autoconfirmed,,
1973,American Revolution,autoconfirmed;sysop,,
19743458,Giuliano Carmignola,autoconfirmed;autoconfirmed,,
19751602,Peter Cox (politician),autoconfirmed;autoconfirmed,,
197517,Rachel Corrie,autoconfirmed;sysop,,
197522,B. R. Ambedkar,autoconfirmed;sysop,,
1979299,Giza pyramid complex,autoconfirmed;autoconfirmed,,
19798769,Celebrity Juice,autoconfirmed;autoconfirmed,,
19806783,List of awards and nominations received by Katy Perry,autoconfirmed;autoconfirmed,,
19811070,To Kill with Intrigue,autoconfirmed,,
19823867,Twat,autoconfirmed;sysop,,
19828134,Plant,autoconfirmed;sysop,,
198286,Gerbil,autoconfirmed;sysop,,
19831,Margaret Thatcher,autoconfirmed;sysop,,
19834,Mary Wollstonecraft,autoconfirmed;sysop,,
19877957,G String Divas,autoconfirmed;autoconfirmed,,
198787,Hitler Youth,autoconfirmed;autoconfirmed,,
198796,1918 flu pandemic,autoconfirmed;autoconfirmed,,
198843,Savanna,autoconfirmed;autoconfirmed,,
19904525,Transgender,autoconfirmed;autoconfirmed,,
19908980,List of Presidents of the United States,autoconfirmed;sysop,,
1991248,Benben,autoconfirmed,,
19914843,Ferdinand Magellan,autoconfirmed,,
19916615,Electron shell,autoconfirmed;autoconfirmed,,
1991808,Water fluoridation controversy,autoconfirmed,,
1991826,Wiki (disambiguation),autoconfirmed;sysop,,
19931197,First Presbyterian Church and Lewis Pintard House,autoconfirmed;autoconfirmed,,
199445,Wayne Rooney,autoconfirmed;autoconfirmed,,
19946301,Pretty,autoconfirmed;autoconfirmed,,
19959198,Fee (band),autoconfirmed;autoconfirmed,,
1996060,Rita Cosby,autoconfirmed;autoconfirmed,,
19961,Manchester United F.C.,autoconfirmed;sysop,,
1996436,Russell Brand,autoconfirmed;sysop,,
199661,Rock (geology),autoconfirmed;sysop,,
199823,Pia Kjærsgaard,autoconfirmed;autoconfirmed,,
19985252,Jeremy Hanson,autoconfirmed;sysop,,
1998934,Hossein Shariatmadari,autoconfirmed;autoconfirmed,,
19990546,Andrew Wakefield,autoconfirmed;autoconfirmed,,
1999295,John Stephenson (actor),autoconfirmed,,
1999766,Jimmy Bain,autoconfirmed;autoconfirmed,,
2000361,Omid Kordestani,autoconfirmed;autoconfirmed,,
2000551,Petar Brzica,autoconfirmed;autoconfirmed,,
20011748,Apraxia of speech,autoconfirmed;autoconfirmed,,
200129,Hair loss,autoconfirmed,,
200136,Static electricity,autoconfirmed;sysop,,
2001423,Hoe,autoconfirmed;autoconfirmed,,
200145,The Jungle Book,autoconfirmed;autoconfirmed,,
20022961,Liam Hemsworth,autoconfirmed;autoconfirmed,,
20027839,For Boys Only: The Biggest; Baddest Book Ever,autoconfirmed;autoconfirmed,,
20038350,Nathan Lewis,autoconfirmed,,
20059060,Red Wing Pottery,autoconfirmed,,
2006,Auschwitz concentration camp,autoconfirmed;autoconfirmed,,
200683,Chelsea Clinton,autoconfirmed;sysop,,
200750,Adrien Brody,autoconfirmed;autoconfirmed,,
20076,Martin Luther King; Jr.,autoconfirmed;sysop,,
20082093,Presidency of Barack Obama,autoconfirmed;sysop,,
20082214,Obsessive–compulsive disorder,autoconfirmed;sysop,,
20084768,List of Ukrainian Canadians,autoconfirmed;autoconfirmed,,
20092265,Small penis rule,autoconfirmed;autoconfirmed,,
200953,Woody Woodpecker,autoconfirmed;autoconfirmed,,
2010495,Gary McKinnon,autoconfirmed;autoconfirmed,,
20110967,Midget,autoconfirmed;sysop,,
20111084,Asshole,autoconfirmed;sysop,,
20116019,Asher Roth,autoconfirmed;sysop,,
2011621,List of superhuman features and abilities in fiction,autoconfirmed;autoconfirmed,,
20124073,Killer Meteors,autoconfirmed,,
2012569,Tim Dog,autoconfirmed;autoconfirmed,,
20127,M. C. Escher,autoconfirmed;sysop,,
20128213,The Hunger Games (novel),autoconfirmed;autoconfirmed,,
201448,The Rescuers,autoconfirmed;sysop,,
201562,Egyptian calendar,autoconfirmed,,
20161262,Dev (actor),autoconfirmed;sysop,,
20162095,Edward Jeffries,autoconfirmed;autoconfirmed,,
201634,White-bellied sea eagle,autoconfirmed;autoconfirmed,,
20169016,Obama Day,autoconfirmed;autoconfirmed,,
2017208,Meet the Robinsons,autoconfirmed;autoconfirmed,,
2017211,Bolt (2008 film),autoconfirmed;autoconfirmed,,
20189,Mesopotamia,autoconfirmed;sysop,,
201918,Brigadier,autoconfirmed;autoconfirmed,,
20196652,Ghazal Srinivas,autoconfirmed;autoconfirmed,,
20204,Manatee,autoconfirmed;sysop,,
20224,Mummy,autoconfirmed;sysop,,
20224502,Armando Montelongo,autoconfirmed;autoconfirmed,,
202354,Vietnam,autoconfirmed;sysop,,
202367,Copts,autoconfirmed;autoconfirmed,,
2024147,Merewether High School,autoconfirmed;autoconfirmed,,
2024319,James Zogby,autoconfirmed;autoconfirmed,,
2025079,Jack Greenberg (lawyer),autoconfirmed;sysop,,
20253443,Alice Albinia,autoconfirmed,,
20268,Microsoft Excel,autoconfirmed;autoconfirmed,,
20269316,Puta,autoconfirmed,,
20269727,List of gay; lesbian or bisexual people: I–J,autoconfirmed;autoconfirmed,,
20277309,Federal Aid Highway Act of 1921,autoconfirmed,,
20289325,List of Mario sports games,autoconfirmed;autoconfirmed,,
202898,Atmosphere of Earth,autoconfirmed,,
20304610,Vaghena Island,autoconfirmed;autoconfirmed,,
20329639,Little Rock Nine,autoconfirmed;autoconfirmed,,
20333139,Javier Pastore,autoconfirmed;autoconfirmed,,
203407,Celine Dion,autoconfirmed;autoconfirmed,,
203421,Amanda Bynes,autoconfirmed;sysop,,
20347,Meaning of life,autoconfirmed;sysop,,
20371818,John Cryan,autoconfirmed;autoconfirmed,,
203745,Chesapeake Bay Retriever,autoconfirmed;autoconfirmed,,
20376850,Mohammed Ayoob,autoconfirmed;autoconfirmed,,
20395872,Oprah Winfrey,autoconfirmed;sysop,,
20397796,Nick Griffin,autoconfirmed;sysop,,
20398264,Kirk Cameron,autoconfirmed;autoconfirmed,,
20403394,Alpine Mastiff,autoconfirmed;autoconfirmed,,
20408,Marie Curie,autoconfirmed;autoconfirmed,,
204121,Amin al-Husseini,autoconfirmed,,
20412121,Depictions of Muhammad,autoconfirmed;sysop,,
20423,Malaria,autoconfirmed;sysop,,
204281,Subhas Chandra Bose,autoconfirmed;sysop,,
20430740,Sea Gate Police Department,autoconfirmed;autoconfirmed,,
2043502,Kunbi,autoconfirmed,,
20437813,Debby Ryan,autoconfirmed;autoconfirmed,,
20450767,The Book of Eli,autoconfirmed,,
20452468,Sanela Diana Jenkins,autoconfirmed;autoconfirmed,,
20455,Michael Jordan,autoconfirmed;sysop,,
2045634,Dogo Argentino,autoconfirmed;autoconfirmed,,
20459650,Ajmal Kasab,autoconfirmed;sysop,,
2045984,Temporary Interstate Highways,autoconfirmed,,
2046323,C-sharp minor,autoconfirmed;autoconfirmed,,
2046741,Chaplet of Divine Mercy,autoconfirmed,,
20474,Mohs scale of mineral hardness,autoconfirmed;autoconfirmed,,
2048766,Iron Monkey (1993 film),autoconfirmed,,
20488975,Tori Black,autoconfirmed;autoconfirmed,,
20489905,Carolyn Jarvis,autoconfirmed;autoconfirmed,,
20490327,Y. S. Jaganmohan Reddy,autoconfirmed;autoconfirmed,,
20501,Moose,autoconfirmed;sysop,,
205075,Teacher,autoconfirmed;sysop,,
2051965,Prithviraj Chauhan,autoconfirmed;sysop,,
2052382,Stupid (disambiguation),autoconfirmed;sysop,,
205246,Salem witch trials,autoconfirmed;sysop,,
20538630,The Game,autoconfirmed;autoconfirmed,,
20541438,The World's 10 Most Wanted,autoconfirmed,,
2054378,Hugh Percy; 2nd Duke of Northumberland,autoconfirmed;autoconfirmed,,
205522,Ann Coulter,autoconfirmed;sysop,,
20553584,List of gay; lesbian or bisexual people: L,autoconfirmed;autoconfirmed,,
20554592,Robert Griffin III,autoconfirmed,,
20556201,Koobface,autoconfirmed;autoconfirmed,,
20559169,Kevin,autoconfirmed;autoconfirmed,,
20584,Morgan Freeman,autoconfirmed;autoconfirmed,,
20585666,Virgin Killer,autoconfirmed;sysop,,
20585942,The Brat Attack,autoconfirmed,,
20595187,Deniz Kadah,autoconfirmed,,
20596557,Watermelon,autoconfirmed;sysop,,
20598015,Brachiosaurus,autoconfirmed;sysop,,
20598355,Human penis size,autoconfirmed;sysop,,
2060013,Nicole Malachowski,autoconfirmed;autoconfirmed,,
20609622,Babylon,autoconfirmed;sysop,,
20609863,Weather and climate,autoconfirmed;autoconfirmed,,
20610362,Operation Repo,autoconfirmed,,
20611030,Ejaculation,autoconfirmed;sysop,,
20617631,Barack Obama citizenship conspiracy theories,autoconfirmed;sysop,,
2062,Amerigo Vespucci,autoconfirmed;autoconfirmed,,
206213,Black and Tan Coonhound,autoconfirmed;autoconfirmed,,
2062960,Supercharger (album),autoconfirmed;autoconfirmed,,
2063880,The Legend of Dragoon,autoconfirmed,,
20640,OS X,autoconfirmed;autoconfirmed,,
2064489,Michele Bachmann,autoconfirmed;autoconfirmed,,
20646279,Wedgie,autoconfirmed;sysop,,
20647108,Red fox,autoconfirmed;autoconfirmed,,
20650188,Bernard Madoff,autoconfirmed;sysop,,
20652023,Rachel Notley,autoconfirmed;autoconfirmed,,
20656228,Maize,autoconfirmed;sysop,,
20669,My Neighbor Totoro,autoconfirmed;autoconfirmed,,
20691749,A Few Good Men,autoconfirmed;autoconfirmed,,
206932,Japanese battleship Yamato,autoconfirmed;autoconfirmed,,
2069669,Princess Margareta of Romania,autoconfirmed;autoconfirmed,,
20715,Marbury v. Madison,autoconfirmed;autoconfirmed,,
20715044,Game of Thrones,autoconfirmed;sysop,,
20718432,RuPaul's Drag Race,autoconfirmed;autoconfirmed,,
20741383,Singaporean general election; 2011,autoconfirmed;autoconfirmed,,
207454,Furby,autoconfirmed;autoconfirmed,,
207662,Arabian Gulf,autoconfirmed;sysop,,
20767027,Faggot (food),autoconfirmed;autoconfirmed,,
2077,Adam Weishaupt,autoconfirmed;autoconfirmed,,
2077273,Vidya Balan,autoconfirmed,,
20780702,Sodomy,autoconfirmed;sysop,,
20791281,If You Love Me (Let Me Know),autoconfirmed;sysop,,
20796,Malcolm X,autoconfirmed;sysop,,
2080058,Tony Meléndez,autoconfirmed;autoconfirmed,,
208053,Meerkat,autoconfirmed;autoconfirmed,,
20817874,Peter Joseph,autoconfirmed,,
208200,Charles Bronson,autoconfirmed;sysop,,
20837513,List of Billboard Hot 100 number-one singles of 2009,autoconfirmed;autoconfirmed,,
2083806,Lily Cole,autoconfirmed,,
20840306,Heal the World Foundation,autoconfirmed;autoconfirmed,,
208417,Japanese battleship Musashi,autoconfirmed;autoconfirmed,,
2084667,Jammu Kashmir Liberation Front,autoconfirmed;autoconfirmed,,
20854704,List of Palestinian rocket attacks on Israel; 2008,extendedconfirmed;extendedconfirmed,,
20859,Mickey Mouse,autoconfirmed;sysop,,
20859894,MILF (slang),autoconfirmed;autoconfirmed,,
20865738,Derrick Rose,autoconfirmed,,
20889094,Girls Aloud discography,autoconfirmed;autoconfirmed,,
208892,Shoe fetishism,autoconfirmed;autoconfirmed,,
20897953,Narma,autoconfirmed,,
2090902,Regal Entertainment,autoconfirmed,,
20913246,Scarlett Johansson,autoconfirmed;sysop,,
209195,Vince Neil,autoconfirmed;autoconfirmed,,
2092499,List of Grand Slam men's singles champions,autoconfirmed;autoconfirmed,,
2092712,Giza Plateau,autoconfirmed;autoconfirmed,,
20930740,Star Wars Battlefront (2015 video game),autoconfirmed;autoconfirmed,,
20938003,Nowhere Else to Roam,autoconfirmed,,
20938376,Dappy,autoconfirmed;autoconfirmed,,
20949000,Dani Campbell,autoconfirmed;autoconfirmed,,
2094979,Hypermail,autoconfirmed;autoconfirmed,,
20952,Mobile; Alabama,autoconfirmed;sysop,,
2095762,Channing Tatum,autoconfirmed,,
20958,Magna Carta,autoconfirmed;sysop,,
2095829,Sonia Sotomayor,autoconfirmed;sysop,,
20962708,Jonathan Breeze,autoconfirmed;autoconfirmed,,
209643,Star of David,autoconfirmed;autoconfirmed,,
2096702,Bop It,autoconfirmed;autoconfirmed,,
20972876,West Ridge Academy,autoconfirmed;autoconfirmed,,
2098418,Lawrence North High School,autoconfirmed;autoconfirmed,,
20989220,List of Premier League hat-tricks,autoconfirmed;autoconfirmed,,
20996974,The Expendables (2010 film),autoconfirmed,,
20999991,Sarah Jessica Parker,autoconfirmed;sysop,,
21009880,Systemic lupus erythematosus,autoconfirmed;autoconfirmed,,
21019,Michelangelo,autoconfirmed;sysop,,
21021,Mecca,autoconfirmed;sysop,,
21022536,Golden Retriever,autoconfirmed;sysop,,
2102314,Venad,autoconfirmed;autoconfirmed,,
210453,The Black Eyed Peas,autoconfirmed;autoconfirmed,,
210458,Waffle,autoconfirmed;sysop,,
210471,Common Sense (pamphlet),autoconfirmed;autoconfirmed,,
